filename,width,height,class,xmin,ymin,xmax,ymax
img-561_jpg.rf.00e55aff1b67a607a6631ac6a05bf7af.jpg,400,300,pothole,175,37,211,51
img-561_jpg.rf.00e55aff1b67a607a6631ac6a05bf7af.jpg,400,300,pothole,189,4,246,24
img-561_jpg.rf.00e55aff1b67a607a6631ac6a05bf7af.jpg,400,300,pothole,278,0,399,160
img-561_jpg.rf.00e55aff1b67a607a6631ac6a05bf7af.jpg,400,300,pothole,19,86,297,190
img-561_jpg.rf.00e55aff1b67a607a6631ac6a05bf7af.jpg,400,300,pothole,60,200,178,299
img-561_jpg.rf.00e55aff1b67a607a6631ac6a05bf7af.jpg,400,300,pothole,1,230,43,254
img-561_jpg.rf.00e55aff1b67a607a6631ac6a05bf7af.jpg,400,300,pothole,162,56,190,75
img-561_jpg.rf.00e55aff1b67a607a6631ac6a05bf7af.jpg,400,300,pothole,123,69,159,86
img-561_jpg.rf.00e55aff1b67a607a6631ac6a05bf7af.jpg,400,300,pothole,338,162,399,192
img-78_jpg.rf.01130ebf73370c115ee9de4fc1f29be5.jpg,720,720,pothole,283,271,484,442
img-78_jpg.rf.01130ebf73370c115ee9de4fc1f29be5.jpg,720,720,pothole,145,170,201,250
img-380_jpg.rf.0211b9d66b12bdee8d05b9ba890573dc.jpg,450,300,pothole,53,38,392,241
img-235_jpg.rf.030dcf4264c55859ef30294c84f77482.jpg,720,720,pothole,227,196,502,463
img-110_jpg.rf.0390f81a2c5b2ad5676a8eb5b043d743.jpg,720,720,pothole,223,289,637,410
img-110_jpg.rf.0390f81a2c5b2ad5676a8eb5b043d743.jpg,720,720,pothole,81,183,179,210
img-664_jpg.rf.0392cc4f0a63d256e7c42f057345f8b5.jpg,400,300,pothole,0,56,376,226
img-162_jpg.rf.0459e44683fd65132e9e2558f7cfcc6a.jpg,720,720,pothole,220,245,479,385
img-80_jpg.rf.02752f42e0f4bc24481a8d9d938a7569.jpg,720,720,pothole,215,225,448,420
img-1_jpg.rf.04766deb9036fc43721c26f431c3eb3d.jpg,720,720,pothole,212,239,524,377
img-566_jpg.rf.04baef7f164a924d84511224f7b46b8a.jpg,438,300,pothole,233,51,267,63
img-566_jpg.rf.04baef7f164a924d84511224f7b46b8a.jpg,438,300,pothole,217,31,246,43
img-566_jpg.rf.04baef7f164a924d84511224f7b46b8a.jpg,438,300,pothole,239,119,277,146
img-566_jpg.rf.04baef7f164a924d84511224f7b46b8a.jpg,438,300,pothole,295,103,343,130
img-566_jpg.rf.04baef7f164a924d84511224f7b46b8a.jpg,438,300,pothole,342,207,380,236
img-566_jpg.rf.04baef7f164a924d84511224f7b46b8a.jpg,438,300,pothole,187,171,231,196
img-566_jpg.rf.04baef7f164a924d84511224f7b46b8a.jpg,438,300,pothole,134,94,152,105
img-566_jpg.rf.04baef7f164a924d84511224f7b46b8a.jpg,438,300,pothole,121,84,138,96
img-566_jpg.rf.04baef7f164a924d84511224f7b46b8a.jpg,438,300,pothole,88,117,125,139
img-566_jpg.rf.04baef7f164a924d84511224f7b46b8a.jpg,438,300,pothole,81,153,123,187
img-240_jpg.rf.06da3127a48b2f044201c9b2f9755109.jpg,720,720,pothole,280,242,455,456
img-240_jpg.rf.06da3127a48b2f044201c9b2f9755109.jpg,720,720,pothole,331,27,366,55
img-240_jpg.rf.06da3127a48b2f044201c9b2f9755109.jpg,720,720,pothole,383,43,419,58
img-240_jpg.rf.06da3127a48b2f044201c9b2f9755109.jpg,720,720,pothole,386,22,425,41
img-652_jpg.rf.0590f1d28a51cd3ae140c3b7c8a35e19.jpg,450,300,pothole,132,194,422,296
img-652_jpg.rf.0590f1d28a51cd3ae140c3b7c8a35e19.jpg,450,300,pothole,0,149,193,228
img-652_jpg.rf.0590f1d28a51cd3ae140c3b7c8a35e19.jpg,450,300,pothole,0,106,110,141
img-31_jpg.rf.04f6a2c9ec048f70c2faeb7e4193784d.jpg,720,720,pothole,228,279,438,410
img-281_jpg.rf.09e7fcea8709dc8bd7d799bd346b3d0f.jpg,720,720,pothole,157,234,574,391
img-533_jpg.rf.0a1292d1f04bbf45d8846532b3ad0eb8.jpg,451,300,pothole,271,103,329,128
img-533_jpg.rf.0a1292d1f04bbf45d8846532b3ad0eb8.jpg,451,300,pothole,171,120,231,136
img-533_jpg.rf.0a1292d1f04bbf45d8846532b3ad0eb8.jpg,451,300,pothole,0,170,412,299
img-53_jpg.rf.0a3288162e47d617b9108c8b7027f362.jpg,720,720,pothole,212,247,457,463
img-53_jpg.rf.0a3288162e47d617b9108c8b7027f362.jpg,720,720,pothole,579,445,669,572
img-620_jpg.rf.077f5547cc7daeccf1aa61fd6ca2f0a4.jpg,571,300,pothole,52,209,408,270
img-620_jpg.rf.077f5547cc7daeccf1aa61fd6ca2f0a4.jpg,571,300,pothole,493,223,533,237
img-640_jpg.rf.07e03157df4d66c761b4b8c3a4418cb9.jpg,400,300,pothole,65,130,302,241
